"","Rank","NOC","Gold","Silver","Bronze","Total","Year"
"1245",74,"Nigeria",0,1,1,2,2020
"1246",77,"Bahrain",0,1,0,1,2020
"1247",77,"Lithuania",0,1,0,1,2020
"1248",77,"Namibia",0,1,0,1,2020
"1249",77,"North Macedonia",0,1,0,1,2020
"1250",77,"Saudi Arabia",0,1,0,1,2020
"1251",77,"Turkmenistan",0,1,0,1,2020
"1252",83,"Kazakhstan",0,0,8,8,2020
"1253",84,"Mexico",0,0,4,4,2020
"1254",85,"Finland",0,0,2,2,2020
"1255",86,"Botswana",0,0,1,1,2020
"1256",86,"Burkina Faso",0,0,1,1,2020
"1257",86,"Ghana",0,0,1,1,2020
"1258",86,"Grenada",0,0,1,1,2020
"1259",86,"Ivory Coast",0,0,1,1,2020
"1260",86,"Kuwait",0,0,1,1,2020
"1261",86,"Moldova",0,0,1,1,2020
"1262",86,"Syria",0,0,1,1,2020
"1263",1,"United States",40,44,42,126,2024
"1264",2,"China",40,27,24,91,2024
"1265",3,"Japan",20,12,13,45,2024
"1266",4,"Australia",18,19,16,53,2024
"1267",5,"France",16,26,22,64,2024
"1268",6,"Netherlands",15,7,12,34,2024
"1269",7,"Great Britain",14,22,29,65,2024
"1270",8,"South Korea",13,9,10,32,2024
"1271",9,"Italy",12,13,15,40,2024
"1272",10,"Germany",12,13,8,33,2024
"1273",11,"New Zealand",10,7,3,20,2024
"1274",12,"Canada",9,7,11,27,2024
"1275",13,"Uzbekistan",8,2,3,13,2024
"1276",14,"Hungary",6,7,6,19,2024
"1277",15,"Spain",5,4,9,18,2024
"1278",16,"Sweden",4,4,3,11,2024
"1279",17,"Kenya",4,2,5,11,2024
"1280",18,"Norway",4,1,3,8,2024
"1281",19,"Ireland",4,0,3,7,2024
"1282",20,"Brazil",3,7,10,20,2024
"1283",21,"Iran",3,6,3,12,2024
"1284",22,"Ukraine",3,5,4,12,2024
"1285",23,"Romania",3,4,2,9,2024
"1286",24,"Georgia",3,3,1,7,2024
"1287",25,"Belgium",3,1,6,10,2024
"1288",26,"Bulgaria",3,1,3,7,2024
"1289",27,"Serbia",3,1,1,5,2024
"1290",28,"Czech Republic",3,0,2,5,2024
"1291",29,"Denmark",2,2,5,9,2024
"1292",30,"Azerbaijan",2,2,3,7,2024
"1293",30,"Croatia",2,2,3,7,2024
"1294",32,"Cuba",2,1,6,9,2024
"1295",33,"Bahrain",2,1,1,4,2024
"1296",34,"Slovenia",2,1,0,3,2024
"1297",35,"Chinese Taipei",2,0,5,7,2024
"1298",36,"Austria",2,0,3,5,2024
"1299",37,"Hong Kong",2,0,2,4,2024
"1300",37,"Philippines",2,0,2,4,2024
"1301",39,"Algeria",2,0,1,3,2024
"1302",39,"Indonesia",2,0,1,3,2024
"1303",41,"Israel",1,5,1,7,2024
"1304",42,"Poland",1,4,5,10,2024
"1305",43,"Kazakhstan",1,3,3,7,2024
"1306",44,"Jamaica",1,3,2,6,2024
"1307",44,"South Africa",1,3,2,6,2024
"1308",44,"Thailand",1,3,2,6,2024
"1309",47,"Ethiopia",1,3,0,4,2024
"1310",48,"Switzerland",1,2,5,8,2024
"1311",49,"Ecuador",1,2,2,5,2024
"1312",50,"Portugal",1,2,1,4,2024
"1313",51,"Greece",1,1,6,8,2024
"1314",52,"Argentina",1,1,1,3,2024
"1315",52,"Egypt",1,1,1,3,2024
"1316",52,"Tunisia",1,1,1,3,2024
"1317",55,"Botswana",1,1,0,2,2024
"1318",55,"Chile",1,1,0,2,2024
"1319",55,"Saint Lucia",1,1,0,2,2024
"1320",55,"Uganda",1,1,0,2,2024
"1321",59,"Dominican Republic",1,0,2,3,2024
"1322",60,"Guatemala",1,0,1,2,2024
"1323",60,"Morocco",1,0,1,2,2024
"1324",62,"Dominica",1,0,0,1,2024
"1325",62,"Pakistan",1,0,0,1,2024
"1326",64,"Turkey",0,3,5,8,2024
"1327",65,"Mexico",0,3,2,5,2024
"1328",66,"Armenia",0,3,1,4,2024
"1329",66,"Colombia",0,3,1,4,2024
"1330",68,"Kyrgyzstan",0,2,4,6,2024
"1331",68,"North Korea",0,2,4,6,2024
"1332",70,"Lithuania",0,2,2,4,2024
"1333",71,"India",0,1,5,6,2024
"1334",72,"Moldova",0,1,3,4,2024
"1335",73,"Kosovo",0,1,1,2,2024
"1336",74,"Cyprus",0,1,0,1,2024
"1337",74,"Fiji",0,1,0,1,2024
"1338",74,"Jordan",0,1,0,1,2024
"1339",74,"Mongolia",0,1,0,1,2024
"1340",74,"Panama",0,1,0,1,2024
"1341",79,"Tajikistan",0,0,3,3,2024
"1342",80,"Albania",0,0,2,2,2024
"1343",80,"Grenada",0,0,2,2,2024
"1344",80,"Malaysia",0,0,2,2,2024
"1345",80,"Puerto Rico",0,0,2,2,2024
"1346",84,"Cabo Verde",0,0,1,1,2024
"1347",84,"Ivory Coast",0,0,1,1,2024
"1348",84,"Peru",0,0,1,1,2024
"1349",84,"Qatar",0,0,1,1,2024
"1350",84,"Refugee Olympic Team",0,0,1,1,2024
"1351",84,"Singapore",0,0,1,1,2024
"1352",84,"Slovakia",0,0,1,1,2024
"1353",84,"Zambia",0,0,1,1,2024
